"Feature name","Data Type","Feature Desciption","used"
"id","double","Shared Data Repository Enterprise Person Identifier - unique for a member","no"
"rx_hum_19_pmpm_cost","float","cost per month of prescriptions related to CHEMOTHERAPY - ANTIANDROGENS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_can_mal_male_genital_pmpm_ct","float","claims per month related to neoplasms : malignant neoplasms of male genital organs in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_inj_surgical_pmpm_ct","float","claims per month related to injury, poisoning and certain other consequences of external causes : complications of surgical and medical care, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"rev_pm_capd_pmpm_cd_ct","float","claim lines per month for a revenue code related to continuous ambulatory peritoneal dialysis in the past one year","no"
"cci_chf_pmpm_ct","float","count per month of claims related to congestive heart failure in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"rx_phar_cat_safeway_pmpm_ct","float","count per month of prescriptions purchased at safeway pharmacy in the past one year","no"
"cmsd2_ext_car_pmpm_ct","float","claims per month related to external causes of morbidity : car occupant injured in transport accident in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_dig_liver_pmpm_ct","float","claims per month related to diseases of the digestive system : diseases of liver in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_mus_arthropath_pmpm_ct","float","claims per month related to diseases of the musculoskeletal system and connective tissue : infectious arthropathies in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_28_pmpm_ct","float","count per month of prescriptions related to CONTRACEPTIVES drugs in the past one year {Based on Humana drug classification}","yes"
"rwjf_homicides_rate","float","Social and Economic Factors - Homicides rate per 100k population","yes"
"rev_pm_restrp_pmpm_cd_ct","float","claim lines per month for a revenue code related to respiratory services in the past one year","no"
"bh_cdsb_pmpm_ct","float","count per month of behavioral health claims related to chemical dependence: substances in the past one year","no"
"cnt_cp_livecall_0","integer","count per month of member interactions via livecall with a lag of _0 from the score date in the past one year","no"
"rwjf_premature_death_rate","float","Health Outcomes - Age-adjusted YPLL rate per 100K before age 75","yes"
"rx_overall_pmpm_cost","float","cost per month for prescriptions in the past one year","yes"
"rx_overall_pmpm_ct","float","number of prescriptions per month in the past one year","yes"
"cci_mlg_pmpm_ct","float","count per month of claims related to any malignancy in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"bh_ncal_pmpm_ct","float","count per month of behavioral health claims related to neuro cognition disorder: alzheimers in the past one year","no"
"cnt_cp_print_0","integer","count per month of member interactions via print with a lag of _0 from the score date in the past one year","yes"
"rev_pm_occtrp_pmpm_cd_ct","float","claim lines per month for a revenue code related to occupational therapy in the past one year","no"
"cnt_cp_webstatement_5","integer","count per month of member interactions via webstatement with a lag of _5 from the score date in the past one year","yes"
"rwjf_poor_men_hlth_days","float","Health Outcomes - Average number of mentally unhealthy days reported in past 30 days (age-adjusted)","yes"
"total_ip_maternity_admit_days_pmpm","double","admitted days per month for overall claims related to maternity inpatient facilities in the past one year","no"
"rx_maint_pmpm_ct","float","count per month of prescriptions related to maintenance drugs in the past one year","yes"
