feature_desciption,var,value,data_type
Homeowner Status,cons_homstat,0.013683121,string
Code indicating the original reason for entry into Medicare,cms_orig_reas_entitle_cd,0.009323001,string
Short Term Loan Index,cons_stlindex,0.009194641,integer
Managing Illness or Condition - Index,cons_hxmioc,0.007368608,integer
allowed cost per month for overall claims related to physician office in the past one year,total_physician_office_allowed_pmpm_cost,0.004974712,double
Binary indicator that a member is receiving a subsidy from CMS,cms_low_income_ind,0.004630446,integer
"Member age {calculated using est_bday, relative to score/index date}",est_age,0.003757357,integer
visits per month for overall claims related to physician office in the past one year,total_physician_office_visit_ct_pmpm,0.00333915,double
count per month of member interactions via webstatement with a lag of _0 from the score date in the past one year,cnt_cp_webstatement_0,0.00332732,integer
Managing the Business of Health,cons_hxmboh,0.003264027,integer
Clinical Care - Discharges for Ambulatory Care Sensitive Conditions per 1K Medicare Enrollees,rwjf_preventable_ip_rate,0.003174706,double
count per month of prescriptions related to Tier 1 drugs in the past one year,rx_tier_1_pmpm_ct,0.00308302,float
cost per month of prescriptions related to mail drugs in the past one year,rx_mail_pmpm_cost,0.002951702,float
Health Outcomes - HIV prevalence,rwjf_hiv_rate,0.002938689,float
Total number of occupied housing units,atlas_totalocchu,0.00291207,double
Physical Environment - Average daily density of fine particulate matter in micrograms per cubic meter (PM2.5),rwjf_air_pollute_density,0.002774837,float
days since last claim for non-behavioral health claims related to physician office in the past one year,med_physician_office_ds_clm,0.002604478,integer
Percent of population 65 or older,atlas_age65andolderpct2010,0.002573127,double
count per month of prescriptions related to CHEMOTHERAPY - PARP INHIBITORS drugs in the past one year {Based on Humana drug classification},rx_hum_24_pmpm_ct,0.002531129,float
Adult Diabetes Rate,atlas_pct_diabetes_adults13,0.00234125,double
Orchard farms,atlas_orchard_farms12,0.002277365,double
allowed cost per month for overall claims in the past one year,total_allowed_pmpm_cost,0.002173849,double
count per month of member interactions via vat in the past one year,cnt_cp_vat_pmpm_ct,0.00216675,float
Code indicating a member's race,cms_race_cd,0.002085712,string
cost per month for prescriptions in the past one year,rx_overall_pmpm_cost,0.002071515,float
allowed cost per month for overall claims related to outpatient facilities in the past one year,total_outpatient_allowed_pmpm_cost,0.002054953,double
Population Size,atlas_totalpopest2016,0.002045488,double
days since last claim for non-behavioral health claims related to outpatient facilities in the past one year,med_outpatient_ds_clm,0.001869806,integer
cost per month of prescriptions related to nonspecialty drugs in the past one year,rx_nonspecialty_pmpm_cost,0.001817752,float
count per month of member interactions via webstatement with a lag of _3 from the score date in the past one year,cnt_cp_webstatement_3,0.001753867,integer
cost per month of prescriptions related to maintenance drugs in the past one year,rx_maint_pmpm_cost,0.001739671,float
claims per month related to diseases of the skin and subcutaneous tissue : radiation-related disorders of the skin and subcutaneous tissue in the past one year {based on CMS diagnosis code level2},cmsd2_skn_radiation_pmpm_ct,0.001718376,float
days since last claim for overall claims related to physician office in the past one year,total_physician_office_ds_clm,0.001708911,integer
days since last claim for overall claims related to outpatient facilities in the past one year,total_outpatient_ds_clm,0.001705362,integer
claims per month related to diseases of the musculoskeletal system and connective tissue in the past one year {based on CMS diagnosis code level1},cmsd1_mus_pmpm_ct,0.001702996,float
allowed cost per month for non-behavioral health claims in the past one year,total_med_allowed_pmpm_cost,0.001702405,double
cost per month of prescriptions related to non maintenance drugs in the past one year,rx_nonmaint_pmpm_cost,0.001700038,float
days since last prescription in the past one year,rx_days_since_last_script,0.001643844,integer
count per month of prescriptions related to CARDIOLOGY - HEART FAILURE drugs in the past one year {Based on Humana drug classification},rx_hum_16_pmpm_ct,0.001611901,float
